scheduler,id,arrival,burst,start,exit,waiting,turnaround,response
FCFS,400,8932,67,21865,21932,12933,13000,12933
FCFS,472,8945,90,21932,22022,12987,13077,12987
FCFS,197,8958,11,22022,22033,13064,13075,13064
FCFS,474,8967,64,22033,22097,13066,13130,13066
FCFS,107,8996,61,22097,22158,13101,13162,13101
FCFS,296,9007,69,22158,22227,13151,13220,13151
FCFS,118,9062,38,22227,22265,13165,13203,13165
FCFS,451,9087,62,22265,22327,13178,13240,13178
FCFS,280,9146,97,22327,22424,13181,13278,13181
FCFS,293,9151,17,22424,22441,13273,13290,13273
FCFS,359,9163,99,22441,22540,13278,13377,13278
FCFS,28,9167,9,22540,22549,13373,13382,13373
FCFS,384,9183,89,22549,22638,13366,13455,13366
FCFS,407,9204,83,22638,22721,13434,13517,13434
FCFS,445,9207,75,22721,22796,13514,13589,13514
FCFS,238,9208,32,22796,22828,13588,13620,13588
FCFS,78,9268,83,22828,22911,13560,13643,13560
FCFS,23,9274,100,22911,23011,13637,13737,13637
FCFS,314,9331,25,23011,23036,13680,13705,13680
FCFS,208,9339,98,23036,23134,13697,13795,13697
FCFS,362,9358,47,23134,23181,13776,13823,13776
FCFS,302,9435,43,23181,23224,13746,13789,13746
FCFS,428,9435,62,23224,23286,13789,13851,13789
FCFS,69,9467,42,23286,23328,13819,13861,13819
FCFS,158,9474,92,23328,23420,13854,13946,13854
FCFS,271,9492,82,23420,23502,13928,14010,13928
FCFS,446,9540,4,23502,23506,13962,13966,13962
FCFS,149,9555,12,23506,23518,13951,13963,13951
FCFS,47,9555,39,23518,23557,13963,14002,13963
FCFS,399,9561,10,23557,23567,13996,14006,13996
FCFS,216,9561,69,23567,23636,14006,14075,14006
FCFS,255,9637,57,23636,23693,13999,14056,13999
FCFS,418,9662,70,23693,23763,14031,14101,14031
FCFS,51,9670,39,23763,23802,14093,14132,14093
FCFS,93,9687,39,23802,23841,14115,14154,14115
FCFS,62,9692,74,23841,23915,14149,14223,14149
FCFS,485,9708,5,23915,23920,14207,14212,14207
FCFS,274,9719,91,23920,24011,14201,14292,14201
FCFS,152,9721,16,24011,24027,14290,14306,14290
FCFS,457,9760,26,24027,24053,14267,14293,14267
FCFS,110,9762,3,24053,24056,14291,14294,14291
FCFS,146,9789,87,24056,24143,14267,14354,14267
FCFS,476,9817,37,24143,24180,14326,14363,14326
FCFS,444,9823,92,24180,24272,14357,14449,14357
FCFS,434,9827,9,24272,24281,14445,14454,14445
FCFS,394,9874,17,24281,24298,14407,14424,14407
FCFS,246,9874,54,24298,24352,14424,14478,14424
FCFS,252,9888,5,24352,24357,14464,14469,14464
FCFS,372,9907,26,24357,24383,14450,14476,14450
FCFS,143,9914,54,24383,24437,14469,14523,14469
FCFS,191,9925,5,24437,24442,14512,14517,14512
FCFS,436,9949,31,24442,24473,14493,14524,14493
FCFS,211,9986,21,24473,24494,14487,14508,14487
FCFS,29,9998,71,24494,24565,14496,14567,14496
scheduler,id,arrival,burst,start,exit,waiting,turnaround,response
SRTF,379,4,18,4,22,0,18,0
SRTF,87,64,36,64,100,0,36,0
SRTF,260,98,85,100,185,2,87,2
